Occupation ,Latitude,Longitude
"engraver,",40.7424164,-73.8278025
"engraver,",40.7416112,-73.9871907
"portrait painter,",42.3406373,-75.1651689
"painting,",40.7096764,-74.0051166
"painter,",40.7281971,-74.0050062
painter.,40.7834692,-73.7747373
"painter,",40.7282947,-74.0063254
"painter,",40.7245567,-73.9955792
"artist,",40.7104544,-74.0058236
"mininturepainter,",40.712739,-74.0084652
"painter,",40.720556,-73.9962989
"painter,",40.698061,-73.995732
"auctioneers,",40.7060361,-74.0088256
painter.,40.7150337,-73.9794082
"painter,",40.7140636,-73.9901951
"painter,",40.7223341,-73.9931936
"engraver,",40.7100021,-74.0068037
"engraver,",40.7113653,-74.0060469
"engraver,",40.7107912,-74.0083659
"portrait painter,",42.2528649,-73.790959
"painter,",40.6309782,-74.1466263
"painter,",40.7107726,-74.0096727
"painter,",40.5675356,-74.1190417
"auctioneer,",40.7208595,-73.998155
painter.,40.7602629,-73.9157371
"portraitpainter,",40.6247004,-74.1596932
"painter,",40.628263,-73.999149
"painter,",40.7127753,-74.0059728
"engraver,",40.7106779,-74.0070811
"painter,",40.7175581,-73.9949693
"painter,",40.7176111,-73.9999134
painter.,40.813389,-73.878958
"artist,",40.7124937,-74.0103871
"painter,",40.7146197,-73.9974421
"painter,",41.3306493,-74.1868135
engraver.,40.7106155,-74.0093147
nortraitpainter,40.7180316,-74.0030505
"painter,",40.6820841,-73.7698262
"artist,",40.6890825,-74.0003827
"engraver,",40.7060361,-74.0088256
", artist,",40.7157109,-73.9939932
"carver,",40.7244618,-73.9982515
"painter,",40.7283189,-74.0062112
"portrait painter,",40.7115178,-74.0104389
"painter,",40.7127753,-74.0059728
"artist,",40.7566911,-73.8188629
engraver.,40.733037,-74.0041967
"painter,",40.7183214,-74.0066688
"artist,",40.7175647,-73.9794946
"painter,",40.729717,-74.003701
"painter,",40.7179174,-73.9942348
"painter,",40.7151158,-74.01029
"engraver and printer,",40.7148811,-74.0053941
"sign painter,",40.7127753,-74.0059728
"engraver,",40.7127753,-74.0059728
"painter,",40.7162947,-73.9828638
"wood engraver,",40.7127228,-73.997996
"painter,",40.7142682,-73.9995783
"ornamental painter,",40.6593206,-73.9885268
painter.,40.718546,-73.9860785
"painter,",40.7202426,-73.9844817
"art flowers,",43.2237662,-75.7760563
"engraver,",40.7127753,-74.0059728
"carver,",40.7192775,-73.9812974
auctioneer.,40.7060602,-74.0074766
"painter,",40.7151041,-73.7581467
"painter,",40.7135754,-74.0010703
"engraver,",40.7142782,-74.0068897
"painter,",40.7263926,-74.0070076
"painter,",40.7154103,-73.9929472
"artist's mat.,",40.7238844,-74.0017023
"painter,",40.7127228,-73.997996
"painter,",40.7112898,-74.0119537
"painter,",40.6697035,-73.9786309
"auctioneer,",42.2528649,-73.790959
"gilder,",40.7255182,-74.0034529
"painter,",40.6253871,-74.0021451
"painter,",40.7018833,-73.9909409
"painter,",40.7198743,-74.0105129
"painters,",40.7198743,-74.0105129
"painter,",40.7296858,-74.0018049
"painter,",40.7884385,-73.7958232
"painter,",40.7224755,-73.9977705
"gilder,",40.7127753,-74.0059728
"gilder,",40.7113801,-74.0055336
"painter,",40.7211163,-73.9833473
"chinnpainter,",40.7659885,-73.9243365
"carver,",40.7127753,-74.0059728
"chinapainters,",40.6593206,-73.9885268
"painter,",40.7167327,-73.9800219
"painter,",40.7327909,-74.0078281
"painter,",40.726624,-73.9914808
"fancy painter,",40.7127753,-74.0059728
"gilder,",40.7193416,-73.9878006
artist,40.7244618,-73.9982515
"gilder,",40.7630174,-73.9594952
gilder.,40.7183659,-73.9883005
"engraver,",40.745819,-73.7204845
"gilder,",40.7630174,-73.9594952
"auctioneer,",40.8301953,-73.9475965
